Index_Place,City,Name_SMEs,General_Category,Specialty,Price_Range,Rating,Goods,Description,Contact
Y_05,Yogyakarta,Kenangan Jogjaku,Craft,Tas Jinjing Batik Kecil,<25.000,4.8,Souvenir,Kenangan Jogjaku menjual tas jinjing yang memiliki motif batik dan berukuran kecil dengan harga yang terjangkau,https://shopee.co.id/kenanganjogjaku
Y_06,Yogyakarta,Walidi Craft,Craft,"Miniatur sepeda, becak, vespa",>50.000,4.6,Souvenir,"Walidi Craft menjual berbagai macam miniatur transportasi jaman dahulu, seperti sepeda ontel, becak, dan vespa dengan berbagai macam ukuran.",0818271835
Y_07,Yogyakarta,Toko Mebi,Craft,Boneka Flanel,25.000-50.000,4.8,Souvenir,Toko Mebi menjual berbagai macam boneka dengan karakter yang berbeda-beda dan terbuat dari flanel.,https://www.tokopedia.com/tokomebi
Y_08,Yogyakarta,Anyaman Kita,Craft,Dompet,<25.000,4.9,Souvenir,"Anyaman Kita menjual dompet yang memiliki berbagai macam motif, seperti batik, motif daun, motif bunga, dan lain sebagainya. Dompet yang dijual oleh Anyaman Kita dilengkapi oleh furing dan penutup magnet.",https://shopee.co.id/anyamankita
Y_09,Yogyakarta,Yesclean market,Craft,Kursi Rotan,>50.000,5,Household Items,Yesclean market menjual berbagai jenis kursi yang terbuat dari rotan sintetis.,https://www.tokopedia.com/yescleanmarket
Y_10,Yogyakarta,Ais Jogja Craft,Craft,Kap Lampu Gantung,>50.000,4.9,Household Items,"Ais Jogja Craft menjual berbagai jenis kerajinan tangan. Salah satu yang utama, yaitu kap lampu gantung yang terbuat dari rotan dengan berbagai bentuk.",https://www.tokopedia.com/aiskerajinandaribambu
Y_11,Yogyakarta,Kerajinan Anyaman B Craft,Craft,Hiasan Dinding,25.000-50.000,4.9,Household Items,"Kerajinan Anyaman B Craft menjual berbagai hiasan dinding anyaman yang terbuat dari bahan seagrass dan serat pisang. Selain itu, juga terdapat berbagai ukuran diameter, seperti 35 cm, 40 cm, 45 cm, dan 50 cm.",https://shopee.co.id/b.craftjogja
Y_12,Yogyakarta,Modemku Mega Sarana,Craft,Cobek Bakar Tanah Liat,<25.000,4.7,Daily Needs,Modemku Mega Sarana menjual cobek bakar yang terbuat dari tanah liat dan telah dilengkapi dengan ulekan.,https://www.tokopedia.com/modemkudotcom
Y_13,Yogyakarta,Marem Project,Craft,Alat Makan Kayu,<25.000,4.8,Daily Needs,"Marem Project menjual berbagai alat makan, seperti sendok, garpu, sumpit, spatula, entong, dan lain sebagainya yang terbuat dari bahan dasar kayu yang aman digunakan untuk makanan.",https://www.tokopedia.com/maremproject
Y_14,Yogyakarta,Jogja Aesthetic,Craft,Taplak Meja Anyaman,>50.000,5,Household Items,"Jogja Aesthetic menjual taplak meja tamu anyaman oval yang dikombinasikan dengan tali serat plastik dan cocok digunakan untuk hiasan rumah, khususnya ruang tamu.",https://shopee.co.id/jogja.aesthetic
