Index_Place,City,Name_SMEs,General_Category,Specialty,Price_Range,Rating,Goods
B_01,Bali,Sunrise Outlet,Fashion,Kaos streetwear,25.000-50.000,4.6,Casual Fashion
B_02,Bali,Grosir Baju Barong Bali,Fashion,Baju Barong,<25.000,4.9,Casual Fashion
B_03,Bali,Store_Mallory,Fashion,Kaos Bali,<25.000,4.8,Casual Fashion
B_04,Bali,Sukawati Souvenir,Fashion,"Pakaian wanita, Tie Dye",25.000-50.000,4.9,Casual Fashion
B_05,Bali,Cap Bali,Fashion,"Pakaian tropis wanita, batik",>50.000,4.7,Casual Fashion
B_06,Bali,Ni Made Dunung,Fashion,"Kaos Bali, Tie Dye, Tas Rotan",<25.000,5,Casual Fashion
B_07,Bali,Taruna Bali Udeng,Fashion,"Rayon, Udeng",>50.000,4.7,Formal Fashion
B_08,Bali,Bali Modis,Fashion,"Kaos Wanita, Daster",<25.000,4.9,Casual Fashion
B_09,Bali,Mason Chocolates,Munchies,Coklat,25.000-50.000,4.9,Snack
B_10,Bali,Cakelin Bali,Munchies,Kue Bolu ,>50.000,5,Snack
B_11,Bali,Bite Bali,Munchies,Croissant,25.000-50.000,4.6,Snack
B_12,Bali,Bali Forages,Munchies,"Beef jerky, keripik daging, dendeng",>50.000,4.9,Snack
B_13,Bali,IniTempe Bali,Munchies,Keripik tempe,25.000-50.000,4.9,Snack
B_14,Bali,Pia Cinta,Munchies,Pia,25.000-50.000,4.5,Snack
B_15,Bali,Bali Bon Bon,Munchies,Coklat,<25.000,4.6,Street Snacks
B_16,Bali,Pia Bintang Baturiti,Munchies,Pia,>50.000,4.9,Snack
B_17,Bali,Poklahsar Taman Grya,Munchies,Keripik ikan,25.000-50.000,3.8,Snack
B_18,Bali,Warung Adi,F&B,Nasi Campur Ayam Khas Bali,25.000-50.000,4.7,Main Course
B_19,Bali,Nasi Pedas Bu Hanif,F&B,Nasi Pedas,25.000-50.000,4.5,Main Course
B_20,Bali,Nasi Jinggo Wikowi,F&B,Nasi Jinggo,<25.000,4.4,Street Food
B_21,Bali,Warung Liku,F&B,Ayam Betutu,>50.000,4.7,Main Course
B_22,Bali,Nasi Bali Men Weti,F&B,Nasi Campur Ayam Khas Bali,25.000-50.000,4.7,Main Course
B_23,Bali,Nasi Tahu Ni Sarti,F&B,Nasi Tahu,<25.000,4.9,Street Food
B_24,Bali,Nasi Lawar Nang Etonk,F&B,Lawar Gurita,<25.000,4.6,Street Food
B_25,Bali,Warung Adnyana,F&B,"Nasi Campur, Tipat Kuah",25.000-50.000,4.6,Main Course
B_26,Bali,Warung 24/7,F&B,Seafood,>50.000,4.4,Main Course
B_27,Bali,Warung Seafood Garage,F&B,Seafood,>50.000,5,Main Course
B_28,Bali,Ayam betutu byangde,F&B,Ayam Betutu,>50.000,4.7,Main Course
B_29,Bali,Betutu Ibu Rai Kalam,F&B,Ayam Betutu,>50.000,4.6,Main Course
B_30,Bali,Cak Tris Seafood Nasional,F&B,Seafood,>50.000,4.3,Main Course
B_31,Bali,Uyah Sera,F&B,Nasi Campur Khas Bali,25.000-50.000,4.5,Main Course
B_32,Bali,DC Donut Monang Maning,Munchies,Donat,25.000-50.000,4.1,Snack
B_33,Bali,Rabbit Hole Bakery,Munchies,Croissant,25.000-50.000,4.6,Snack
B_34,Bali,Taco Thai Tea,Munchies,Thai Tea,<25.000,4.6,Street Snacks
B_35,Bali,Momma Juices,Munchies,Jus buah,25.000-50.000,4.7,Snack
B_36,Bali,Cheese Tea Inc,Munchies,Cheese Tea,25.000-50.000,4.8,Snack
